"","link","titulo","preco","cidade","bairro","adicional","tem_quarto","tem_area","tem_taxa","tem_garagem","qtd_quarto","taxa_condominio","area_condominio","garagem"
"976","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-vista-mar-3-quartos-2-vagas-a-venda-185-m-por-r-1-100-000-rua-corone-557143575","Apartamento com vista mar 3 quartos, 2 vagas à venda, 185 m² por R$ 1.100.000 - rua Corone",1100000,"Niterói"," Icaraí","3 quarto | 136m² | Condomínio: RS 1.000 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1000,136,2
"977","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-170-m-por-r-900-000-00-icarai-niteroi-rj-739092116","Apartamento à venda, 170 m² por R$ 900.000,00 - Icaraí - Niterói/RJ",9e+05,"Niterói"," Icaraí","3 quarto | 170m² | Condomínio: RS 920 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,920,170,2
"978","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-apartamento-na-planta-sala-2-quartos-varanda-gourmet-1-vaga-756859333","Vendo apartamento na Planta sala 2 quartos varanda Gourmet 1 vaga",612000,"Niterói"," Icaraí","2 quarto | 0m² | 1 vaga",TRUE,TRUE,FALSE,TRUE,2,NA,NA,1
"979","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/vendo-excelente-apartamento-3-quartos-713747689","Vendo excelente apartamento 3 quartos",439900,"Niterói"," Icaraí","3 quarto | 85m² | Condomínio: RS 520",TRUE,TRUE,TRUE,FALSE,3,520,85,0
"980","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-2-dormitorios-em-icarai-niteroi-cod-860733-655019307","Apartamento à venda com 2 dormitórios em Icaraí, Niterói cod:860733",460000,"Niterói"," Icaraí","2 quarto | 60m² | Condomínio: RS 450",TRUE,TRUE,TRUE,FALSE,2,450,60,0
"981","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/amplo-apartamento-3-quartos-150m-3-varandas-suite-banheiro-social-lavabo-copa-cozin-634554855","Amplo apartamento, 3 quartos, 150m, 3 varandas, suite, banheiro social, lavabo, copa cozin",985000,"Niterói"," Icaraí","3 quarto | 150m² | Condomínio: RS 1.170 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,1170,150,2
"982","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-2-dormitorios-a-venda-70m-por-r-690-000-icarai-niteroi-rj-ap0995-690522676","Apartamento com 2 dormitórios à venda, 70m² por R$690.000 - Icaraí - Niterói/RJ - AP0995",690000,"Niterói"," Icaraí","2 quarto | 70m² | Condomínio: RS 500 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,500,70,1
"983","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-a-venda-com-2-dormitorios-em-icarai-niteroi-cod-842602-620311139","Apartamento à venda com 2 dormitórios em Icaraí, Niterói cod:842602",460000,"Niterói"," Icaraí","2 quarto | 84m² | Condomínio: RS 699 | 1 vaga",TRUE,TRUE,TRUE,TRUE,2,699,84,1
"984","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-3-quartos-669308615","Apartamento 3- Quartos",745000,"Niterói"," Icaraí","3 quarto | Condomínio: RS 1.410 | 1 vaga",TRUE,FALSE,TRUE,TRUE,3,1410,NA,1
"985","https://rj.olx.com.br/rio-de-janeiro-e-regiao/imoveis/apartamento-com-3-dormitorios-a-venda-105-m-por-r-930-000-icarai-niteroi-rj-668368395","Apartamento com 3 dormitórios à venda, 105 m² por R$ 930.000 - Icaraí - Niterói/RJ",890000,"Niterói"," Icaraí","3 quarto | 105m² | Condomínio: RS 910 | 2 vagas",TRUE,TRUE,TRUE,TRUE,3,910,105,2
